date,rate
2021-10-01,0.006654
2021-10-02,0.006651
2021-10-03,0.006654
2021-10-04,0.006711
2021-10-05,0.00672
2021-10-06,0.00673
2021-10-07,0.006711
2021-10-08,0.006694
2021-10-09,0.006687
2021-10-10,0.00669
2021-10-11,0.006666
2021-10-12,0.00668
2021-10-13,0.006692
2021-10-14,0.006684
2021-10-15,0.006689
2021-10-16,0.006688
2021-10-17,0.006687
2021-10-18,0.006666
2021-10-19,0.006674
2021-10-20,0.006667
2021-10-21,0.006667
2021-10-22,0.006658
2021-10-23,0.006652
2021-10-24,0.00665
2021-10-25,0.006667
2021-10-26,0.00667
2021-10-27,0.006666
2021-10-28,0.006675
2021-10-29,0.006666
2021-10-30,0.006721
2021-10-31,0.00672
2021-11-01,0.006668
