date,rate
2021-10-01,0.060069
2021-10-02,0.060048
2021-10-03,0.060048
2021-10-04,0.060736
2021-10-05,0.06073
2021-10-06,0.060486
2021-10-07,0.060403
2021-10-08,0.060294
2021-10-09,0.060255
2021-10-10,0.060252
2021-10-11,0.060005
2021-10-12,0.059982
2021-10-13,0.060234
2021-10-14,0.06026
2021-10-15,0.060322
2021-10-16,0.060337
2021-10-17,0.060332
2021-10-18,0.060192
2021-10-19,0.060364
2021-10-20,0.060352
2021-10-21,0.060342
2021-10-22,0.060211
2021-10-23,0.060206
2021-10-24,0.060207
2021-10-25,0.060185
2021-10-26,0.060108
2021-10-27,0.060136
2021-10-28,0.060669
2021-10-29,0.059904
2021-10-30,0.06045
2021-10-31,0.06045
2021-11-01,0.05995
