date,rate
2021-10-01,324.266009
2021-10-02,324.152153
2021-10-03,324.152148
2021-10-04,327.780595
2021-10-05,327.848889
2021-10-06,326.473606
2021-10-07,326.089174
2021-10-08,325.660349
2021-10-09,325.284351
2021-10-10,325.277457
2021-10-11,324.211142
2021-10-12,323.946191
2021-10-13,325.383651
2021-10-14,325.592849
2021-10-15,325.878698
2021-10-16,326.011941
2021-10-17,326.012241
2021-10-18,325.170959
2021-10-19,326.260386
2021-10-20,326.231397
2021-10-21,326.184197
2021-10-22,325.549557
2021-10-23,325.463069
2021-10-24,325.433262
2021-10-25,325.354313
2021-10-26,324.875316
2021-10-27,324.937084
2021-10-28,327.799783
2021-10-29,323.630446
2021-10-30,326.568801
2021-10-31,326.569044
2021-11-01,323.791371
