date,rate
2021-10-01,1.540943
2021-10-02,1.540985
2021-10-03,1.540985
2021-10-04,1.559836
2021-10-05,1.557942
2021-10-06,1.551026
2021-10-07,1.551425
2021-10-08,1.548996
2021-10-09,1.546829
2021-10-10,1.546794
2021-10-11,1.554467
2021-10-12,1.54539
2021-10-13,1.556425
2021-10-14,1.56491
2021-10-15,1.566736
2021-10-16,1.558204
2021-10-17,1.558204
2021-10-18,1.550983
2021-10-19,1.551816
2021-10-20,1.556319
2021-10-21,1.556196
2021-10-22,1.55998
2021-10-23,1.55539
2021-10-24,1.555245
2021-10-25,1.563741
2021-10-26,1.557577
2021-10-27,1.557852
2021-10-28,1.575622
2021-10-29,1.547883
2021-10-30,1.567784
2021-10-31,1.567784
2021-11-01,1.552485
