date,rate
2021-10-01,0.391164
2021-10-02,0.391374
2021-10-03,0.391511
2021-10-04,0.397105
2021-10-05,0.394773
2021-10-06,0.394788
2021-10-07,0.391729
2021-10-08,0.391868
2021-10-09,0.391531
2021-10-10,0.391367
2021-10-11,0.392141
2021-10-12,0.392043
2021-10-13,0.391893
2021-10-14,0.393002
2021-10-15,0.393448
2021-10-16,0.392974
2021-10-17,0.393508
2021-10-18,0.393443
2021-10-19,0.394379
2021-10-20,0.394241
2021-10-21,0.394253
2021-10-22,0.393555
2021-10-23,0.39295
2021-10-24,0.392885
2021-10-25,0.392501
2021-10-26,0.392515
2021-10-27,0.392433
2021-10-28,0.394481
2021-10-29,0.38897
2021-10-30,0.392818
2021-10-31,0.392818
2021-11-01,0.389304
