date,rate
2021-10-01,0.052392
2021-10-02,0.052388
2021-10-03,0.052148
2021-10-04,0.052896
2021-10-05,0.052898
2021-10-06,0.052632
2021-10-07,0.052617
2021-10-08,0.052613
2021-10-09,0.052606
2021-10-10,0.052607
2021-10-11,0.05244
2021-10-12,0.052401
2021-10-13,0.05259
2021-10-14,0.052609
2021-10-15,0.052683
2021-10-16,0.052691
2021-10-17,0.052687
2021-10-18,0.052565
2021-10-19,0.052723
2021-10-20,0.052674
2021-10-21,0.052685
2021-10-22,0.052596
2021-10-23,0.052526
2021-10-24,0.052507
2021-10-25,0.052566
2021-10-26,0.052454
2021-10-27,0.052221
2021-10-28,0.052847
2021-10-29,0.052054
2021-10-30,0.052395
2021-10-31,0.052392
2021-11-01,0.052149
