date,rate
2021-10-01,0.89012
2021-10-02,0.888713
2021-10-03,0.887551
2021-10-04,0.891609
2021-10-05,0.887781
2021-10-06,0.888305
2021-10-07,0.887384
2021-10-08,0.881341
2021-10-09,0.881472
2021-10-10,0.87999
2021-10-11,0.871956
2021-10-12,0.871541
2021-10-13,0.873417
2021-10-14,0.87287
2021-10-15,0.867784
2021-10-16,0.866785
2021-10-17,0.867153
2021-10-18,0.86902
2021-10-19,0.868948
2021-10-20,0.869673
2021-10-21,0.873526
2021-10-22,0.875127
2021-10-23,0.876008
2021-10-24,0.876132
2021-10-25,0.875056
2021-10-26,0.871173
2021-10-27,0.875861
2021-10-28,0.879587
2021-10-29,0.874405
2021-10-30,0.874697
2021-10-31,0.874486
2021-11-01,0.8717
