date,rate
2021-10-01,0.057791
2021-10-02,0.057756
2021-10-03,0.05774
2021-10-04,0.057698
2021-10-05,0.057512
2021-10-06,0.05788
2021-10-07,0.057721
2021-10-08,0.057333
2021-10-09,0.057297
2021-10-10,0.057247
2021-10-11,0.056712
2021-10-12,0.056707
2021-10-13,0.056667
2021-10-14,0.056513
2021-10-15,0.056153
2021-10-16,0.056104
2021-10-17,0.056135
2021-10-18,0.056109
2021-10-19,0.055976
2021-10-20,0.055944
2021-10-21,0.056183
2021-10-22,0.056304
2021-10-23,0.056287
2021-10-24,0.056298
2021-10-25,0.056343
2021-10-26,0.056196
2021-10-27,0.056391
2021-10-28,0.056164
2021-10-29,0.05647
2021-10-30,0.05646
2021-10-31,0.056449
2021-11-01,0.056305
