date,rate
2021-10-01,0.038432
2021-10-02,0.038403
2021-10-03,0.038378
2021-10-04,0.038394
2021-10-05,0.038236
2021-10-06,0.038483
2021-10-07,0.03838
2021-10-08,0.038124
2021-10-09,0.038114
2021-10-10,0.038087
2021-10-11,0.037724
2021-10-12,0.037729
2021-10-13,0.037693
2021-10-14,0.037594
2021-10-15,0.037343
2021-10-16,0.037316
2021-10-17,0.037334
2021-10-18,0.037316
2021-10-19,0.03723
2021-10-20,0.037187
2021-10-21,0.037356
2021-10-22,0.037437
2021-10-23,0.037451
2021-10-24,0.037434
2021-10-25,0.037476
2021-10-26,0.037374
2021-10-27,0.037511
2021-10-28,0.037367
2021-10-29,0.037569
2021-10-30,0.037559
2021-10-31,0.037551
2021-11-01,0.037466
