date,rate
2021-10-01,0.655148
2021-10-02,0.65428
2021-10-03,0.653532
2021-10-04,0.653041
2021-10-05,0.64907
2021-10-06,0.650303
2021-10-07,0.64352
2021-10-08,0.639693
2021-10-09,0.639885
2021-10-10,0.639381
2021-10-11,0.631845
2021-10-12,0.631405
2021-10-13,0.635237
2021-10-14,0.629172
2021-10-15,0.620884
2021-10-16,0.619854
2021-10-17,0.619975
2021-10-18,0.624121
2021-10-19,0.620421
2021-10-20,0.620787
2021-10-21,0.625175
2021-10-22,0.619677
2021-10-23,0.620578
2021-10-24,0.620665
2021-10-25,0.613579
2021-10-26,0.609777
2021-10-27,0.619438
2021-10-28,0.619847
2021-10-29,0.621983
2021-10-30,0.621884
2021-10-31,0.621762
2021-11-01,0.621365
