date,rate
2021-10-01,0.033793
2021-10-02,0.033764
2021-10-03,0.033754
2021-10-04,0.033807
2021-10-05,0.033663
2021-10-06,0.033678
2021-10-07,0.033634
2021-10-08,0.033435
2021-10-09,0.033409
2021-10-10,0.033388
2021-10-11,0.033076
2021-10-12,0.032979
2021-10-13,0.033044
2021-10-14,0.033015
2021-10-15,0.032811
2021-10-16,0.032798
2021-10-17,0.032814
2021-10-18,0.032826
2021-10-19,0.032815
2021-10-20,0.032829
2021-10-21,0.032965
2021-10-22,0.033017
2021-10-23,0.033042
2021-10-24,0.033044
2021-10-25,0.032982
2021-10-26,0.032831
2021-10-27,0.032972
2021-10-28,0.033087
2021-10-29,0.032882
2021-10-30,0.032903
2021-10-31,0.032897
2021-11-01,0.032795
