date,rate
2021-10-01,0.078879
2021-10-02,0.078869
2021-10-03,0.078862
2021-10-04,0.078653
2021-10-05,0.078368
2021-10-06,0.079139
2021-10-07,0.078738
2021-10-08,0.077932
2021-10-09,0.07796
2021-10-10,0.077947
2021-10-11,0.077145
2021-10-12,0.077145
2021-10-13,0.076749
2021-10-14,0.075995
2021-10-15,0.075386
2021-10-16,0.075395
2021-10-17,0.075449
2021-10-18,0.075821
2021-10-19,0.075464
2021-10-20,0.075214
2021-10-21,0.075545
2021-10-22,0.075556
2021-10-23,0.075563
2021-10-24,0.075573
2021-10-25,0.075603
2021-10-26,0.075504
2021-10-27,0.075467
2021-10-28,0.07527
2021-10-29,0.075354
2021-10-30,0.075432
2021-10-31,0.075375
2021-11-01,0.07531
