date,rate
2021-10-01,0.079877
2021-10-02,0.079754
2021-10-03,0.079727
2021-10-04,0.079988
2021-10-05,0.079731
2021-10-06,0.079831
2021-10-07,0.079673
2021-10-08,0.079881
2021-10-09,0.079922
2021-10-10,0.079833
2021-10-11,0.079178
2021-10-12,0.079498
2021-10-13,0.079963
2021-10-14,0.080947
2021-10-15,0.080741
2021-10-16,0.08109
2021-10-17,0.080971
2021-10-18,0.081552
2021-10-19,0.081548
2021-10-20,0.080773
2021-10-21,0.083104
2021-10-22,0.084606
2021-10-23,0.084671
2021-10-24,0.084673
2021-10-25,0.084036
2021-10-26,0.083473
2021-10-27,0.083696
2021-10-28,0.084041
2021-10-29,0.084367
2021-10-30,0.084275
2021-10-31,0.084272
2021-11-01,0.083477
