date,rate
2021-10-01,0.009575
2021-10-02,0.009562
2021-10-03,0.009577
2021-10-04,0.009517
2021-10-05,0.009522
2021-10-06,0.009478
2021-10-07,0.009487
2021-10-08,0.009436
2021-10-09,0.00942
2021-10-10,0.009413
2021-10-11,0.009443
2021-10-12,0.009434
2021-10-13,0.009498
2021-10-14,0.009496
2021-10-15,0.009517
2021-10-16,0.009498
2021-10-17,0.009518
2021-10-18,0.009483
2021-10-19,0.009539
2021-10-20,0.009524
2021-10-21,0.009474
2021-10-22,0.009472
2021-10-23,0.009466
2021-10-24,0.009467
2021-10-25,0.009569
2021-10-26,0.009602
2021-10-27,0.009585
2021-10-28,0.009702
2021-10-29,0.009594
2021-10-30,0.009596
2021-10-31,0.009597
2021-11-01,0.009573
