date,rate
2021-10-01,0.006592
2021-10-02,0.006583
2021-10-03,0.006593
2021-10-04,0.006573
2021-10-05,0.006565
2021-10-06,0.006517
2021-10-07,0.006543
2021-10-08,0.006507
2021-10-09,0.006509
2021-10-10,0.006504
2021-10-11,0.006506
2021-10-12,0.006499
2021-10-13,0.006551
2021-10-14,0.006567
2021-10-15,0.006578
2021-10-16,0.006564
2021-10-17,0.006578
2021-10-18,0.006565
2021-10-19,0.006615
2021-10-20,0.006615
2021-10-21,0.006604
2021-10-22,0.0066
2021-10-23,0.006599
2021-10-24,0.006601
2021-10-25,0.006657
2021-10-26,0.006658
2021-10-27,0.006639
2021-10-28,0.006663
2021-10-29,0.006619
2021-10-30,0.00662
2021-10-31,0.006621
2021-11-01,0.006607
