date,rate
2021-10-01,0.003611
2021-10-02,0.003607
2021-10-03,0.003611
2021-10-04,0.003595
2021-10-05,0.003592
2021-10-06,0.003586
2021-10-07,0.003597
2021-10-08,0.003575
2021-10-09,0.003577
2021-10-10,0.003574
2021-10-11,0.003578
2021-10-12,0.003583
2021-10-13,0.003602
2021-10-14,0.003605
2021-10-15,0.003609
2021-10-16,0.003601
2021-10-17,0.003608
2021-10-18,0.003598
2021-10-19,0.003619
2021-10-20,0.003614
2021-10-21,0.00361
2021-10-22,0.003611
2021-10-23,0.003608
2021-10-24,0.003607
2021-10-25,0.003649
2021-10-26,0.003655
2021-10-27,0.003642
2021-10-28,0.003628
2021-10-29,0.003646
2021-10-30,0.003643
2021-10-31,0.003643
2021-11-01,0.003638
