date,rate
2021-10-01,0.023551
2021-10-02,0.023483
2021-10-03,0.023547
2021-10-04,0.023607
2021-10-05,0.023555
2021-10-06,0.023459
2021-10-07,0.023533
2021-10-08,0.023481
2021-10-09,0.023508
2021-10-10,0.023485
2021-10-11,0.023451
2021-10-12,0.023512
2021-10-13,0.023655
2021-10-14,0.02369
2021-10-15,0.023671
2021-10-16,0.023631
2021-10-17,0.023686
2021-10-18,0.023633
2021-10-19,0.023685
2021-10-20,0.023727
2021-10-21,0.023671
2021-10-22,0.023692
2021-10-23,0.023647
2021-10-24,0.02365
2021-10-25,0.02387
2021-10-26,0.023812
2021-10-27,0.023756
2021-10-28,0.023809
2021-10-29,0.023697
2021-10-30,0.023718
2021-10-31,0.023712
2021-11-01,0.02365
