date,rate
2021-10-01,17.816863
2021-10-02,17.807075
2021-10-03,17.801026
2021-10-04,18.029081
2021-10-05,18.117894
2021-10-06,18.300249
2021-10-07,18.25849
2021-10-08,18.287266
2021-10-09,18.241982
2021-10-10,18.237983
2021-10-11,18.284382
2021-10-12,18.332045
2021-10-13,18.401148
2021-10-14,18.244939
2021-10-15,18.052829
2021-10-16,18.066082
2021-10-17,18.061507
2021-10-18,18.305683
2021-10-19,18.412912
2021-10-20,18.409437
2021-10-21,18.731803
2021-10-22,18.986331
2021-10-23,18.748745
2021-10-24,18.746247
2021-10-25,18.566697
2021-10-26,18.50509
2021-10-27,18.509273
2021-10-28,18.61595
2021-10-29,18.639834
2021-10-30,18.650522
2021-10-31,18.64765
2021-11-01,18.681268
