date,rate
2021-10-01,72.44386
2021-10-02,72.463927
2021-10-03,72.457884
2021-10-04,72.379964
2021-10-05,72.379364
2021-10-06,73.021541
2021-10-07,72.967949
2021-10-08,72.886486
2021-10-09,72.790863
2021-10-10,72.762324
2021-10-11,72.715212
2021-10-12,72.931228
2021-10-13,72.690621
2021-10-14,72.585177
2021-10-15,72.519771
2021-10-16,72.383454
2021-10-17,72.375331
2021-10-18,72.748371
2021-10-19,72.703689
2021-10-20,72.747716
2021-10-21,73.054525
2021-10-22,73.201258
2021-10-23,73.155663
2021-10-24,73.151586
2021-10-25,73.478161
2021-10-26,73.476326
2021-10-27,73.449652
2021-10-28,73.043233
2021-10-29,73.588441
2021-10-30,73.393888
2021-10-31,73.4004
2021-11-01,73.56465
