date,rate
2021-10-01,10.680593
2021-10-02,10.68073
2021-10-03,10.685246
2021-10-04,10.701618
2021-10-05,10.720085
2021-10-06,10.746518
2021-10-07,10.698093
2021-10-08,10.71789
2021-10-09,10.711595
2021-10-10,10.710305
2021-10-11,10.700905
2021-10-12,10.706015
2021-10-13,10.711388
2021-10-14,10.68601
2021-10-15,10.674428
2021-10-16,10.656436
2021-10-17,10.665372
2021-10-18,10.666414
2021-10-19,10.653756
2021-10-20,10.658307
2021-10-21,10.646405
2021-10-22,10.645419
2021-10-23,10.638903
2021-10-24,10.638721
2021-10-25,10.618151
2021-10-26,10.6051
2021-10-27,10.574257
2021-10-28,10.497871
2021-10-29,10.477245
2021-10-30,10.461235
2021-10-31,10.448832
2021-11-01,10.430186
