date,rate
2021-10-01,0.003224
2021-10-02,0.003232
2021-10-03,0.003234
2021-10-04,0.003227
2021-10-05,0.003223
2021-10-06,0.003243
2021-10-07,0.003209
2021-10-08,0.003218
2021-10-09,0.003219
2021-10-10,0.003222
2021-10-11,0.003194
2021-10-12,0.003193
2021-10-13,0.003185
2021-10-14,0.003164
2021-10-15,0.003167
2021-10-16,0.003167
2021-10-17,0.003168
2021-10-18,0.003167
2021-10-19,0.003137
2021-10-20,0.003121
2021-10-21,0.003133
2021-10-22,0.003152
2021-10-23,0.003152
2021-10-24,0.003153
2021-10-25,0.003136
2021-10-26,0.003133
2021-10-27,0.003119
2021-10-28,0.003099
2021-10-29,0.003113
2021-10-30,0.003112
2021-10-31,0.00311
2021-11-01,0.003117
