date,rate
2021-10-01,2.768324
2021-10-02,2.774624
2021-10-03,2.770103
2021-10-04,2.783861
2021-10-05,2.788301
2021-10-06,2.811012
2021-10-07,2.795112
2021-10-08,2.812551
2021-10-09,2.813747
2021-10-10,2.816216
2021-10-11,2.81327
2021-10-12,2.814364
2021-10-13,2.787269
2021-10-14,2.78061
2021-10-15,2.776658
2021-10-16,2.783245
2021-10-17,2.777542
2021-10-18,2.78303
2021-10-19,2.758984
2021-10-20,2.756151
2021-10-21,2.76285
2021-10-22,2.770837
2021-10-23,2.771036
2021-10-24,2.771625
2021-10-25,2.744888
2021-10-26,2.742816
2021-10-27,2.745365
2021-10-28,2.729471
2021-10-29,2.748721
2021-10-30,2.749709
2021-10-31,2.749389
2021-11-01,2.750842
