date,rate
2021-10-01,0.279516
2021-10-02,0.279659
2021-10-03,0.279657
2021-10-04,0.281395
2021-10-05,0.281706
2021-10-06,0.283079
2021-10-07,0.282672
2021-10-08,0.283832
2021-10-09,0.284399
2021-10-10,0.284297
2021-10-11,0.28538
2021-10-12,0.285136
2021-10-13,0.284199
2021-10-14,0.283312
2021-10-15,0.282988
2021-10-16,0.283445
2021-10-17,0.28336
2021-10-18,0.284362
2021-10-19,0.283333
2021-10-20,0.28208
2021-10-21,0.282149
2021-10-22,0.283479
2021-10-23,0.283672
2021-10-24,0.283701
2021-10-25,0.28356
2021-10-26,0.282945
2021-10-27,0.282623
2021-10-28,0.281125
2021-10-29,0.281986
2021-10-30,0.281891
2021-10-31,0.281859
2021-11-01,0.281567
