date,rate
2021-10-01,0.008532
2021-10-02,0.00854
2021-10-03,0.008539
2021-10-04,0.008553
2021-10-05,0.008559
2021-10-06,0.008564
2021-10-07,0.008552
2021-10-08,0.008558
2021-10-09,0.008563
2021-10-10,0.008565
2021-10-11,0.008566
2021-10-12,0.008556
2021-10-13,0.008544
2021-10-14,0.008546
2021-10-15,0.008547
2021-10-16,0.00855
2021-10-17,0.008551
2021-10-18,0.00855
2021-10-19,0.008543
2021-10-20,0.008536
2021-10-21,0.008543
2021-10-22,0.008564
2021-10-23,0.008562
2021-10-24,0.008565
2021-10-25,0.008556
2021-10-26,0.008549
2021-10-27,0.00853
2021-10-28,0.008512
2021-10-29,0.008514
2021-10-30,0.008518
2021-10-31,0.008518
2021-11-01,0.008502
