date,rate
2021-10-01,0.078879
2021-10-02,0.078864
2021-10-03,0.078859
2021-10-04,0.079332
2021-10-05,0.079518
2021-10-06,0.079596
2021-10-07,0.079308
2021-10-08,0.079629
2021-10-09,0.079682
2021-10-10,0.079682
2021-10-11,0.079083
2021-10-12,0.078297
2021-10-13,0.077942
2021-10-14,0.077848
2021-10-15,0.078414
2021-10-16,0.078511
2021-10-17,0.078653
2021-10-18,0.078562
2021-10-19,0.078271
2021-10-20,0.078326
2021-10-21,0.07834
2021-10-22,0.078508
2021-10-23,0.078494
2021-10-24,0.07851
2021-10-25,0.077691
2021-10-26,0.07804
2021-10-27,0.077987
2021-10-28,0.07762
2021-10-29,0.078013
2021-10-30,0.077876
2021-10-31,0.077875
2021-11-01,0.078122
