date,rate
2021-10-01,0.026881
2021-10-02,0.02686
2021-10-03,0.026851
2021-10-04,0.027172
2021-10-05,0.027362
2021-10-06,0.027633
2021-10-07,0.027538
2021-10-08,0.027584
2021-10-09,0.027574
2021-10-10,0.02757
2021-10-11,0.027372
2021-10-12,0.027602
2021-10-13,0.027622
2021-10-14,0.027254
2021-10-15,0.026964
2021-10-16,0.02719
2021-10-17,0.027191
2021-10-18,0.027558
2021-10-19,0.027781
2021-10-20,0.027686
2021-10-21,0.028158
2021-10-22,0.02842
2021-10-23,0.02814
2021-10-24,0.028136
2021-10-25,0.027721
2021-10-26,0.027715
2021-10-27,0.02772
2021-10-28,0.027789
2021-10-29,0.027993
2021-10-30,0.027944
2021-10-31,0.02794
2021-11-01,0.027982
