date,rate
2021-10-01,21.665629
2021-10-02,21.647289
2021-10-03,21.660163
2021-10-04,21.690807
2021-10-05,21.735724
2021-10-06,21.737602
2021-10-07,21.714342
2021-10-08,21.695019
2021-10-09,21.739376
2021-10-10,21.720255
2021-10-11,21.69346
2021-10-12,21.736357
2021-10-13,21.725225
2021-10-14,21.745329
2021-10-15,21.766786
2021-10-16,21.77748
2021-10-17,21.785257
2021-10-18,21.773251
2021-10-19,21.778323
2021-10-20,21.808274
2021-10-21,21.889366
2021-10-22,21.893833
2021-10-23,21.90271
2021-10-24,21.905304
2021-10-25,21.919273
2021-10-26,21.917067
2021-10-27,21.903701
2021-10-28,21.956505
2021-10-29,21.928312
2021-10-30,21.939329
2021-10-31,21.941018
2021-11-01,21.722571
