date,rate
2021-10-01,0.277731
2021-10-02,0.27745
2021-10-03,0.277967
2021-10-04,0.275761
2021-10-05,0.276111
2021-10-06,0.277223
2021-10-07,0.275366
2021-10-08,0.273846
2021-10-09,0.27403
2021-10-10,0.274049
2021-10-11,0.273362
2021-10-12,0.272902
2021-10-13,0.272863
2021-10-14,0.271171
2021-10-15,0.271866
2021-10-16,0.271996
2021-10-17,0.271939
2021-10-18,0.271165
2021-10-19,0.270939
2021-10-20,0.270589
2021-10-21,0.27189
2021-10-22,0.272697
2021-10-23,0.272356
2021-10-24,0.272399
2021-10-25,0.272611
2021-10-26,0.272893
2021-10-27,0.27133
2021-10-28,0.272028
2021-10-29,0.272592
2021-10-30,0.272659
2021-10-31,0.272644
2021-11-01,0.270075
