date,rate
2021-10-01,24.340121
2021-10-02,24.358033
2021-10-03,24.404405
2021-10-04,24.327701
2021-10-05,24.483214
2021-10-06,24.470874
2021-10-07,24.470063
2021-10-08,24.615913
2021-10-09,24.662591
2021-10-10,24.682397
2021-10-11,24.879075
2021-10-12,24.940134
2021-10-13,24.873821
2021-10-14,24.91246
2021-10-15,25.08319
2021-10-16,25.12444
2021-10-17,25.122742
2021-10-18,25.054941
2021-10-19,25.062851
2021-10-20,25.076421
2021-10-21,25.058636
2021-10-22,25.017901
2021-10-23,25.00286
2021-10-24,25.002302
2021-10-25,25.048997
2021-10-26,25.15811
2021-10-27,25.008183
2021-10-28,24.962283
2021-10-29,25.077979
2021-10-30,25.082191
2021-10-31,25.09019
2021-11-01,24.920689
