date,rate
2021-10-01,0.297249
2021-10-02,0.29778
2021-10-03,0.298312
2021-10-04,0.297662
2021-10-05,0.298139
2021-10-06,0.29894
2021-10-07,0.297988
2021-10-08,0.297321
2021-10-09,0.297809
2021-10-10,0.297875
2021-10-11,0.297043
2021-10-12,0.297497
2021-10-13,0.296446
2021-10-14,0.295783
2021-10-15,0.295962
2021-10-16,0.296284
2021-10-17,0.296416
2021-10-18,0.295893
2021-10-19,0.29496
2021-10-20,0.294929
2021-10-21,0.296557
2021-10-22,0.297192
2021-10-23,0.29705
2021-10-24,0.297069
2021-10-25,0.296726
2021-10-26,0.296915
2021-10-27,0.296467
2021-10-28,0.295961
2021-10-29,0.296616
2021-10-30,0.296844
2021-10-31,0.296883
2021-11-01,0.29427
