date,rate
2021-10-01,92502169558.84018
2021-10-02,92102012983.3201
2021-10-03,94082609936.65208
2021-10-04,91668041781.82344
2021-10-05,91670842935.56708
2021-10-06,92456.099259
2021-10-07,91863.205238
2021-10-08,91718.690951
2021-10-09,93170.269982
2021-10-10,93573.63899
2021-10-11,91159.19892
2021-10-12,91280.17898
2021-10-13,91140.141726
2021-10-14,91601.213673
2021-10-15,91808.522313
2021-10-16,92732.26629
2021-10-17,93577.736966
2021-10-18,90901.21371
2021-10-19,90928.336727
2021-10-20,91512.549081
2021-10-21,91837.839148
2021-10-22,92310.307469
2021-10-23,94236.41221
2021-10-24,94649.239676
2021-10-25,93218.385088
2021-10-26,94407.16052
2021-10-27,94567.768989
2021-10-28,95566.894944
2021-10-29,96324.765614
2021-10-30,98463.06657
2021-10-31,98743.082962
2021-11-01,94709.072596
