date,rate
2021-10-01,0.125735
2021-10-02,0.125778
2021-10-03,0.12461
2021-10-04,0.127624
2021-10-05,0.127886
2021-10-06,0.129546
2021-10-07,0.128187
2021-10-08,0.129106
2021-10-09,0.127841
2021-10-10,0.128088
2021-10-11,0.129003
2021-10-12,0.129924
2021-10-13,0.129526
2021-10-14,0.128414
2021-10-15,0.126279
2021-10-16,0.126612
2021-10-17,0.125894
2021-10-18,0.128858
2021-10-19,0.129554
2021-10-20,0.130068
2021-10-21,0.132569
2021-10-22,0.133922
2021-10-23,0.131302
2021-10-24,0.131149
2021-10-25,0.130409
2021-10-26,0.129929
2021-10-27,0.128278
2021-10-28,0.130117
2021-10-29,0.130414
2021-10-30,0.129921
2021-10-31,0.129888
2021-11-01,0.131047
