date,rate
2021-10-01,0.15101
2021-10-02,0.151102
2021-10-03,0.14973
2021-10-04,0.151412
2021-10-05,0.150888
2021-10-06,0.151478
2021-10-07,0.150204
2021-10-08,0.15083
2021-10-09,0.149488
2021-10-10,0.149811
2021-10-11,0.150894
2021-10-12,0.151415
2021-10-13,0.149934
2021-10-14,0.150223
2021-10-15,0.149161
2021-10-16,0.149199
2021-10-17,0.148321
2021-10-18,0.149974
2021-10-19,0.148918
2021-10-20,0.14982
2021-10-21,0.150133
2021-10-22,0.149396
2021-10-23,0.148329
2021-10-24,0.148173
2021-10-25,0.148727
2021-10-26,0.14852
2021-10-27,0.146809
2021-10-28,0.148147
2021-10-29,0.14844
2021-10-30,0.147554
2021-10-31,0.147391
2021-11-01,0.148794
