date,rate
2021-10-01,1.737419
2021-10-02,1.73801
2021-10-03,1.722598
2021-10-04,1.749581
2021-10-05,1.744324
2021-10-06,1.757551
2021-10-07,1.742612
2021-10-08,1.75772
2021-10-09,1.744624
2021-10-10,1.747399
2021-10-11,1.764536
2021-10-12,1.771692
2021-10-13,1.757017
2021-10-14,1.751102
2021-10-15,1.737958
2021-10-16,1.740244
2021-10-17,1.729661
2021-10-18,1.756824
2021-10-19,1.752033
2021-10-20,1.753516
2021-10-21,1.756062
2021-10-22,1.75385
2021-10-23,1.742888
2021-10-24,1.74074
2021-10-25,1.74791
2021-10-26,1.743738
2021-10-27,1.723206
2021-10-28,1.733601
2021-10-29,1.738263
2021-10-30,1.726867
2021-10-31,1.726453
2021-11-01,1.742803
