date,rate
2021-10-01,984.300318
2021-10-02,985.035266
2021-10-03,976.223119
2021-10-04,986.989901
2021-10-05,983.556555
2021-10-06,986.781254
2021-10-07,978.413739
2021-10-08,984.033174
2021-10-09,974.952314
2021-10-10,977.003128
2021-10-11,982.962183
2021-10-12,986.705015
2021-10-13,980.309889
2021-10-14,980.304779
2021-10-15,974.107593
2021-10-16,974.257228
2021-10-17,968.700463
2021-10-18,980.31923
2021-10-19,980.470212
2021-10-20,984.774444
2021-10-21,986.818333
2021-10-22,983.393155
2021-10-23,976.367947
2021-10-24,975.342237
2021-10-25,978.797018
2021-10-26,977.800998
2021-10-27,965.234648
2021-10-28,974.135231
2021-10-29,974.058642
2021-10-30,968.451965
2021-10-31,968.329968
2021-11-01,976.738268
