date,rate
2021-10-01,2.59904
2021-10-02,2.603295
2021-10-03,2.580721
2021-10-04,2.605089
2021-10-05,2.607126
2021-10-06,2.614601
2021-10-07,2.595837
2021-10-08,2.62518
2021-10-09,2.604004
2021-10-10,2.611128
2021-10-11,2.651806
2021-10-12,2.669768
2021-10-13,2.647257
2021-10-14,2.649565
2021-10-15,2.649442
2021-10-16,2.650647
2021-10-17,2.634226
2021-10-18,2.664825
2021-10-19,2.665994
2021-10-20,2.676685
2021-10-21,2.67114
2021-10-22,2.657698
2021-10-23,2.636744
2021-10-24,2.633809
2021-10-25,2.648113
2021-10-26,2.657507
2021-10-27,2.612325
2021-10-28,2.627288
2021-10-29,2.643239
2021-10-30,2.626378
2021-10-31,2.626551
2021-11-01,2.657673
