date,rate
2021-10-01,0.033752
2021-10-02,0.033761
2021-10-03,0.033457
2021-10-04,0.033731
2021-10-05,0.033583
2021-10-06,0.033983
2021-10-07,0.03355
2021-10-08,0.033769
2021-10-09,0.033475
2021-10-10,0.033547
2021-10-11,0.033616
2021-10-12,0.033818
2021-10-13,0.033539
2021-10-14,0.03319
2021-10-15,0.032789
2021-10-16,0.032789
2021-10-17,0.032616
2021-10-18,0.032955
2021-10-19,0.032569
2021-10-20,0.032541
2021-10-21,0.03275
2021-10-22,0.032762
2021-10-23,0.032477
2021-10-24,0.032448
2021-10-25,0.032496
2021-10-26,0.032524
2021-10-27,0.032012
2021-10-28,0.03216
2021-10-29,0.032362
2021-10-30,0.032147
2021-10-31,0.032125
2021-11-01,0.032412
