date,rate
2021-10-01,3.998506
2021-10-02,4.003186
2021-10-03,3.958044
2021-10-04,4.015814
2021-10-05,3.994718
2021-10-06,4.010277
2021-10-07,3.977445
2021-10-08,3.993976
2021-10-09,3.964859
2021-10-10,3.963841
2021-10-11,4.001293
2021-10-12,4.003945
2021-10-13,3.991792
2021-10-14,3.994518
2021-10-15,3.968308
2021-10-16,3.966766
2021-10-17,3.943801
2021-10-18,4.023856
2021-10-19,4.02717
2021-10-20,4.064161
2021-10-21,4.076138
2021-10-22,4.082195
2021-10-23,4.052384
2021-10-24,4.0487
2021-10-25,4.065939
2021-10-26,4.070964
2021-10-27,3.982654
2021-10-28,3.989702
2021-10-29,3.967953
2021-10-30,3.956253
2021-10-31,3.955608
2021-11-01,3.982482
