date,rate
2021-10-01,0.788151
2021-10-02,0.787865
2021-10-03,0.780836
2021-10-04,0.792897
2021-10-05,0.791496
2021-10-06,0.794405
2021-10-07,0.785938
2021-10-08,0.792705
2021-10-09,0.785753
2021-10-10,0.78728
2021-10-11,0.786037
2021-10-12,0.782047
2021-10-13,0.774597
2021-10-14,0.773471
2021-10-15,0.774135
2021-10-16,0.774862
2021-10-17,0.771768
2021-10-18,0.780227
2021-10-19,0.778026
2021-10-20,0.7827
2021-10-21,0.783782
2021-10-22,0.780796
2021-10-23,0.775246
2021-10-24,0.774368
2021-10-25,0.769834
2021-10-26,0.773121
2021-10-27,0.764371
2021-10-28,0.769434
2021-10-29,0.773046
2021-10-30,0.76689
2021-10-31,0.766777
2021-11-01,0.777415
