date,rate
2021-10-01,0.067121
2021-10-02,0.067354
2021-10-03,0.067416
2021-10-04,0.06683
2021-10-05,0.066651
2021-10-06,0.066722
2021-10-07,0.066333
2021-10-08,0.06597
2021-10-09,0.066065
2021-10-10,0.066142
2021-10-11,0.065309
2021-10-12,0.065373
2021-10-13,0.065702
2021-10-14,0.065437
2021-10-15,0.065925
2021-10-16,0.066295
2021-10-17,0.066279
2021-10-18,0.066324
2021-10-19,0.065944
2021-10-20,0.065992
2021-10-21,0.065852
2021-10-22,0.066292
2021-10-23,0.066385
2021-10-24,0.066387
2021-10-25,0.066013
2021-10-26,0.065998
2021-10-27,0.065818
2021-10-28,0.065164
2021-10-29,0.064772
2021-10-30,0.064695
2021-10-31,0.064651
2021-11-01,0.064589
