date,rate
2021-10-01,39.187078
2021-10-02,39.262919
2021-10-03,39.287557
2021-10-04,39.256386
2021-10-05,39.536864
2021-10-06,39.491763
2021-10-07,39.473639
2021-10-08,39.704494
2021-10-09,39.811959
2021-10-10,39.815606
2021-10-11,39.673455
2021-10-12,39.711909
2021-10-13,39.542932
2021-10-14,39.666208
2021-10-15,40.238871
2021-10-16,40.500123
2021-10-17,40.489542
2021-10-18,40.285529
2021-10-19,40.068052
2021-10-20,40.196595
2021-10-21,40.300486
2021-10-22,40.286609
2021-10-23,40.428036
2021-10-24,40.418207
2021-10-25,39.971906
2021-10-26,39.896103
2021-10-27,39.854479
2021-10-28,39.566278
2021-10-29,39.485985
2021-10-30,39.578025
2021-10-31,39.580335
2021-11-01,39.38225
