date,rate
2021-10-01,0.177609
2021-10-02,0.177987
2021-10-03,0.178036
2021-10-04,0.177159
2021-10-05,0.176976
2021-10-06,0.176216
2021-10-07,0.176792
2021-10-08,0.175473
2021-10-09,0.175747
2021-10-10,0.175792
2021-10-11,0.175147
2021-10-12,0.175203
2021-10-13,0.176265
2021-10-14,0.176733
2021-10-15,0.177941
2021-10-16,0.178967
2021-10-17,0.178918
2021-10-18,0.179022
2021-10-19,0.179579
2021-10-20,0.180462
2021-10-21,0.179553
2021-10-22,0.180123
2021-10-23,0.180359
2021-10-24,0.180346
2021-10-25,0.180099
2021-10-26,0.180085
2021-10-27,0.180031
2021-10-28,0.179009
2021-10-29,0.177165
2021-10-30,0.177073
2021-10-31,0.177084
2021-11-01,0.176215
