date,rate
2021-10-01,0.403403
2021-10-02,0.403201
2021-10-03,0.403592
2021-10-04,0.403246
2021-10-05,0.403175
2021-10-06,0.404943
2021-10-07,0.40431
2021-10-08,0.404507
2021-10-09,0.404403
2021-10-10,0.404595
2021-10-11,0.405278
2021-10-12,0.406773
2021-10-13,0.406354
2021-10-14,0.406073
2021-10-15,0.405726
2021-10-16,0.405789
2021-10-17,0.405454
2021-10-18,0.403868
2021-10-19,0.40303
2021-10-20,0.403567
2021-10-21,0.404064
2021-10-22,0.405056
2021-10-23,0.404699
2021-10-24,0.404632
2021-10-25,0.405703
2021-10-26,0.406901
2021-10-27,0.405944
2021-10-28,0.40331
2021-10-29,0.408743
2021-10-30,0.408494
2021-10-31,0.408407
2021-11-01,0.407916
