date,rate
2021-10-01,2.704802
2021-10-02,2.703375
2021-10-03,2.704921
2021-10-04,2.701448
2021-10-05,2.702192
2021-10-06,2.706513
2021-10-07,2.697593
2021-10-08,2.701581
2021-10-09,2.696196
2021-10-10,2.696308
2021-10-11,2.707154
2021-10-12,2.71088
2021-10-13,2.711437
2021-10-14,2.706776
2021-10-15,2.706752
2021-10-16,2.708421
2021-10-17,2.706633
2021-10-18,2.693296
2021-10-19,2.687823
2021-10-20,2.689333
2021-10-21,2.682563
2021-10-22,2.687752
2021-10-23,2.686389
2021-10-24,2.68644
2021-10-25,2.691904
2021-10-26,2.703734
2021-10-27,2.703241
2021-10-28,2.728858
2021-10-29,2.72191
2021-10-30,2.722758
2021-10-31,2.72277
2021-11-01,2.717166
