date,rate
2021-10-01,192.096212
2021-10-02,191.960729
2021-10-03,192.138173
2021-10-04,193.260993
2021-10-05,194.610346
2021-10-06,194.972558
2021-10-07,194.249231
2021-10-08,197.120419
2021-10-09,197.334442
2021-10-10,197.309961
2021-10-11,197.715474
2021-10-12,198.017318
2021-10-13,196.305207
2021-10-14,196.620081
2021-10-15,197.974058
2021-10-16,198.239879
2021-10-17,198.111345
2021-10-18,196.335941
2021-10-19,194.673732
2021-10-20,194.791471
2021-10-21,196.502393
2021-10-22,196.166504
2021-10-23,196.560576
2021-10-24,196.530512
2021-10-25,194.604045
2021-10-26,194.435275
2021-10-27,194.000713
2021-10-28,193.86693
2021-10-29,195.863233
2021-10-30,196.461786
2021-10-31,196.462869
2021-11-01,196.062673
