date,rate
2021-10-01,0.206257
2021-10-02,0.206153
2021-10-03,0.206353
2021-10-04,0.206176
2021-10-05,0.20614
2021-10-06,0.207044
2021-10-07,0.206721
2021-10-08,0.206821
2021-10-09,0.206768
2021-10-10,0.206866
2021-10-11,0.207215
2021-10-12,0.20798
2021-10-13,0.207766
2021-10-14,0.207622
2021-10-15,0.207445
2021-10-16,0.207477
2021-10-17,0.207305
2021-10-18,0.206494
2021-10-19,0.206066
2021-10-20,0.206341
2021-10-21,0.206595
2021-10-22,0.207102
2021-10-23,0.20692
2021-10-24,0.206885
2021-10-25,0.207433
2021-10-26,0.208045
2021-10-27,0.207556
2021-10-28,0.206209
2021-10-29,0.208987
2021-10-30,0.20886
2021-10-31,0.208815
2021-11-01,0.208564
