date,rate
2021-10-01,0.176297
2021-10-02,0.176492
2021-10-03,0.176596
2021-10-04,0.176113
2021-10-05,0.17547
2021-10-06,0.176195
2021-10-07,0.175324
2021-10-08,0.175596
2021-10-09,0.175796
2021-10-10,0.175802
2021-10-11,0.176006
2021-10-12,0.176447
2021-10-13,0.176197
2021-10-14,0.17586
2021-10-15,0.174833
2021-10-16,0.175433
2021-10-17,0.175183
2021-10-18,0.174644
2021-10-19,0.173619
2021-10-20,0.17382
2021-10-21,0.174153
2021-10-22,0.175226
2021-10-23,0.175123
2021-10-24,0.175106
2021-10-25,0.17487
2021-10-26,0.175124
2021-10-27,0.175276
2021-10-28,0.17454
2021-10-29,0.17632
2021-10-30,0.176345
2021-10-31,0.176389
2021-11-01,0.176481
