date,rate
2021-10-01,0.159433
2021-10-02,0.159749
2021-10-03,0.159887
2021-10-04,0.160134
2021-10-05,0.160848
2021-10-06,0.16035
2021-10-07,0.159521
2021-10-08,0.160189
2021-10-09,0.160748
2021-10-10,0.161
2021-10-11,0.158727
2021-10-12,0.158897
2021-10-13,0.159286
2021-10-14,0.159394
2021-10-15,0.160073
2021-10-16,0.16023
2021-10-17,0.160308
2021-10-18,0.160056
2021-10-19,0.160005
2021-10-20,0.159402
2021-10-21,0.159922
2021-10-22,0.160096
2021-10-23,0.160241
2021-10-24,0.160388
2021-10-25,0.159814
2021-10-26,0.159488
2021-10-27,0.158307
2021-10-28,0.159068
2021-10-29,0.157436
2021-10-30,0.157531
2021-10-31,0.157363
2021-11-01,0.157667
