date,rate
2021-10-01,0.74727
2021-10-02,0.747637
2021-10-03,0.747706
2021-10-04,0.751846
2021-10-05,0.756469
2021-10-06,0.750545
2021-10-07,0.753534
2021-10-08,0.754329
2021-10-09,0.756994
2021-10-10,0.757542
2021-10-11,0.75444
2021-10-12,0.754477
2021-10-13,0.754589
2021-10-14,0.761645
2021-10-15,0.763763
2021-10-16,0.764775
2021-10-17,0.764994
2021-10-18,0.763081
2021-10-19,0.764113
2021-10-20,0.76564
2021-10-21,0.76593
2021-10-22,0.762975
2021-10-23,0.7636
2021-10-24,0.764218
2021-10-25,0.764899
2021-10-26,0.763187
2021-10-27,0.760344
2021-10-28,0.767203
2021-10-29,0.757663
2021-10-30,0.758459
2021-10-31,0.757461
2021-11-01,0.756559
