date,rate
2021-10-01,0.099943
2021-10-02,0.100008
2021-10-03,0.10007
2021-10-04,0.100349
2021-10-05,0.101067
2021-10-06,0.100784
2021-10-07,0.101023
2021-10-08,0.101156
2021-10-09,0.1015
2021-10-10,0.101611
2021-10-11,0.101055
2021-10-12,0.101381
2021-10-13,0.101464
2021-10-14,0.102027
2021-10-15,0.102378
2021-10-16,0.102446
2021-10-17,0.102477
2021-10-18,0.102249
2021-10-19,0.102909
2021-10-20,0.10285
2021-10-21,0.102896
2021-10-22,0.102716
2021-10-23,0.102729
2021-10-24,0.102794
2021-10-25,0.103149
2021-10-26,0.10316
2021-10-27,0.102557
2021-10-28,0.102732
2021-10-29,0.102406
2021-10-30,0.102454
2021-10-31,0.102397
2021-11-01,0.102265
