date,rate
2021-10-01,0.749353
2021-10-02,0.750059
2021-10-03,0.750226
2021-10-04,0.752002
2021-10-05,0.758912
2021-10-06,0.756754
2021-10-07,0.759207
2021-10-08,0.760357
2021-10-09,0.762432
2021-10-10,0.762936
2021-10-11,0.759289
2021-10-12,0.762155
2021-10-13,0.762859
2021-10-14,0.766123
2021-10-15,0.768594
2021-10-16,0.76872
2021-10-17,0.76908
2021-10-18,0.767547
2021-10-19,0.772405
2021-10-20,0.771878
2021-10-21,0.774161
2021-10-22,0.773002
2021-10-23,0.772607
2021-10-24,0.773233
2021-10-25,0.776294
2021-10-26,0.775656
2021-10-27,0.770817
2021-10-28,0.771977
2021-10-29,0.767786
2021-10-30,0.768183
2021-10-31,0.767922
2021-11-01,0.766952
