date,rate
2021-10-01,136.87916
2021-10-02,137.151125
2021-10-03,136.969998
2021-10-04,138.160666
2021-10-05,139.141968
2021-10-06,139.008179
2021-10-07,138.959864
2021-10-08,140.02694
2021-10-09,140.506328
2021-10-10,140.70134
2021-10-11,139.805035
2021-10-12,140.069548
2021-10-13,139.409399
2021-10-14,140.07279
2021-10-15,140.361416
2021-10-16,140.803219
2021-10-17,140.569317
2021-10-18,140.631279
2021-10-19,140.719578
2021-10-20,140.74927
2021-10-21,141.020458
2021-10-22,140.735809
2021-10-23,140.892285
2021-10-24,140.996393
2021-10-25,139.882983
2021-10-26,139.628173
2021-10-27,139.360266
2021-10-28,140.119273
2021-10-29,139.025763
2021-10-30,139.186515
2021-10-31,139.1229
2021-11-01,139.174812
