date,rate
2021-10-01,0.484556
2021-10-02,0.485115
2021-10-03,0.484946
2021-10-04,0.486715
2021-10-05,0.490284
2021-10-06,0.486777
2021-10-07,0.488692
2021-10-08,0.4891
2021-10-09,0.490887
2021-10-10,0.491192
2021-10-11,0.487684
2021-10-12,0.487454
2021-10-13,0.488359
2021-10-14,0.49141
2021-10-15,0.493519
2021-10-16,0.493771
2021-10-17,0.494328
2021-10-18,0.495166
2021-10-19,0.499397
2021-10-20,0.498446
2021-10-21,0.49806
2021-10-22,0.495968
2021-10-23,0.49647
2021-10-24,0.496863
2021-10-25,0.497266
2021-10-26,0.495851
2021-10-27,0.49412
2021-10-28,0.498193
2021-10-29,0.490012
2021-10-30,0.490538
2021-10-31,0.49037
2021-11-01,0.49033
