date,rate
2021-10-01,0.167019
2021-10-02,0.167047
2021-10-03,0.167076
2021-10-04,0.167492
2021-10-05,0.168366
2021-10-06,0.168378
2021-10-07,0.168313
2021-10-08,0.168886
2021-10-09,0.169514
2021-10-10,0.169633
2021-10-11,0.168072
2021-10-12,0.168509
2021-10-13,0.168797
2021-10-14,0.168275
2021-10-15,0.16789
2021-10-16,0.16807
2021-10-17,0.168223
2021-10-18,0.167678
2021-10-19,0.167117
2021-10-20,0.166299
2021-10-21,0.167081
2021-10-22,0.167317
2021-10-23,0.167193
2021-10-24,0.167354
2021-10-25,0.167128
2021-10-26,0.167127
2021-10-27,0.165794
2021-10-28,0.166548
2021-10-29,0.165183
2021-10-30,0.16524
2021-10-31,0.165096
2021-11-01,0.164802
