date,rate
2021-10-01,0.457436
2021-10-02,0.45813
2021-10-03,0.457837
2021-10-04,0.461265
2021-10-05,0.466594
2021-10-06,0.458757
2021-10-07,0.462569
2021-10-08,0.466462
2021-10-09,0.467142
2021-10-10,0.467317
2021-10-11,0.46325
2021-10-12,0.464166
2021-10-13,0.464635
2021-10-14,0.466037
2021-10-15,0.467266
2021-10-16,0.468107
2021-10-17,0.468195
2021-10-18,0.469265
2021-10-19,0.47198
2021-10-20,0.471685
2021-10-21,0.473678
2021-10-22,0.473137
2021-10-23,0.472737
2021-10-24,0.473163
2021-10-25,0.476126
2021-10-26,0.474968
2021-10-27,0.473836
2021-10-28,0.475053
2021-10-29,0.472424
2021-10-30,0.472248
2021-10-31,0.472135
2021-11-01,0.471992
