date,rate
2021-10-01,0.494284
2021-10-02,0.494663
2021-10-03,0.494593
2021-10-04,0.496651
2021-10-05,0.499777
2021-10-06,0.498544
2021-10-07,0.499813
2021-10-08,0.50053
2021-10-09,0.50259
2021-10-10,0.502889
2021-10-11,0.500168
2021-10-12,0.501915
2021-10-13,0.502191
2021-10-14,0.505024
2021-10-15,0.506601
2021-10-16,0.50701
2021-10-17,0.507242
2021-10-18,0.505964
2021-10-19,0.50928
2021-10-20,0.508679
2021-10-21,0.509056
2021-10-22,0.508129
2021-10-23,0.508366
2021-10-24,0.508505
2021-10-25,0.510391
2021-10-26,0.51038
2021-10-27,0.507515
2021-10-28,0.508414
2021-10-29,0.506865
2021-10-30,0.507051
2021-10-31,0.506865
2021-11-01,0.50621
