date,rate
2021-10-01,0.094831
2021-10-02,0.094869
2021-10-03,0.094862
2021-10-04,0.09415
2021-10-05,0.094243
2021-10-06,0.094114
2021-10-07,0.093808
2021-10-08,0.093507
2021-10-09,0.093195
2021-10-10,0.093243
2021-10-11,0.093093
2021-10-12,0.093117
2021-10-13,0.093154
2021-10-14,0.0932
2021-10-15,0.093381
2021-10-16,0.093263
2021-10-17,0.093299
2021-10-18,0.092811
2021-10-19,0.092885
2021-10-20,0.093056
2021-10-21,0.092774
2021-10-22,0.092582
2021-10-23,0.09247
2021-10-24,0.092487
2021-10-25,0.092633
2021-10-26,0.093076
2021-10-27,0.093105
2021-10-28,0.094202
2021-10-29,0.093517
2021-10-30,0.093603
2021-10-31,0.093614
2021-11-01,0.093529
