date,rate
2021-10-01,0.010618
2021-10-02,0.010614
2021-10-03,0.010615
2021-10-04,0.0105
2021-10-05,0.010486
2021-10-06,0.010484
2021-10-07,0.010428
2021-10-08,0.010336
2021-10-09,0.010317
2021-10-10,0.010321
2021-10-11,0.010272
2021-10-12,0.010258
2021-10-13,0.010282
2021-10-14,0.010246
2021-10-15,0.010279
2021-10-16,0.010258
2021-10-17,0.010255
2021-10-18,0.010212
2021-10-19,0.010233
2021-10-20,0.010247
2021-10-21,0.010267
2021-10-22,0.010275
2021-10-23,0.010252
2021-10-24,0.010255
2021-10-25,0.010257
2021-10-26,0.010284
2021-10-27,0.010232
2021-10-28,0.010274
2021-10-29,0.010282
2021-10-30,0.010285
2021-10-31,0.010284
2021-11-01,0.010281
