date,rate
2021-10-01,0.006181
2021-10-02,0.006194
2021-10-03,0.006193
2021-10-04,0.006138
2021-10-05,0.00612
2021-10-06,0.006127
2021-10-07,0.006097
2021-10-08,0.006078
2021-10-09,0.006076
2021-10-10,0.00608
2021-10-11,0.006052
2021-10-12,0.006061
2021-10-13,0.006053
2021-10-14,0.006055
2021-10-15,0.006032
2021-10-16,0.006041
2021-10-17,0.006039
2021-10-18,0.006018
2021-10-19,0.006
2021-10-20,0.006015
2021-10-21,0.006023
2021-10-22,0.006036
2021-10-23,0.006028
2021-10-24,0.006028
2021-10-25,0.006018
2021-10-26,0.006029
2021-10-27,0.006037
2021-10-28,0.006025
2021-10-29,0.006058
2021-10-30,0.006062
2021-10-31,0.006065
2021-11-01,0.006075
