date,rate
2021-10-01,0.930588
2021-10-02,0.931795
2021-10-03,0.931979
2021-10-04,0.92627
2021-10-05,0.929788
2021-10-06,0.925436
2021-10-07,0.926671
2021-10-08,0.929092
2021-10-09,0.928515
2021-10-10,0.929576
2021-10-11,0.934889
2021-10-12,0.93742
2021-10-13,0.937279
2021-10-14,0.941266
2021-10-15,0.94834
2021-10-16,0.947525
2021-10-17,0.947417
2021-10-18,0.943603
2021-10-19,0.946599
2021-10-20,0.949591
2021-10-21,0.94625
2021-10-22,0.942676
2021-10-23,0.941125
2021-10-24,0.941238
2021-10-25,0.942467
2021-10-26,0.948074
2021-10-27,0.943059
2021-10-28,0.942774
2021-10-29,0.945954
2021-10-30,0.946122
2021-10-31,0.946412
2021-11-01,0.948642
