date,rate
2021-10-01,0.002527
2021-10-02,0.002528
2021-10-03,0.002528
2021-10-04,0.002517
2021-10-05,0.002517
2021-10-06,0.002506
2021-10-07,0.002506
2021-10-08,0.002499
2021-10-09,0.002499
2021-10-10,0.0025
2021-10-11,0.002487
2021-10-12,0.002489
2021-10-13,0.002492
2021-10-14,0.0025
2021-10-15,0.002504
2021-10-16,0.002505
2021-10-17,0.002507
2021-10-18,0.002493
2021-10-19,0.002498
2021-10-20,0.002507
2021-10-21,0.002507
2021-10-22,0.002502
2021-10-23,0.0025
2021-10-24,0.0025
2021-10-25,0.0025
2021-10-26,0.002505
2021-10-27,0.002502
2021-10-28,0.002508
2021-10-29,0.002504
2021-10-30,0.002509
2021-10-31,0.00251
2021-11-01,0.002504
