date,rate
2021-10-01,1.674779
2021-10-02,1.676092
2021-10-03,1.67596
2021-10-04,1.670027
2021-10-05,1.666859
2021-10-06,1.659331
2021-10-07,1.661748
2021-10-08,1.656513
2021-10-09,1.65314
2021-10-10,1.653984
2021-10-11,1.661532
2021-10-12,1.652774
2021-10-13,1.660232
2021-10-14,1.673837
2021-10-15,1.676318
2021-10-16,1.664575
2021-10-17,1.665206
2021-10-18,1.655707
2021-10-19,1.655835
2021-10-20,1.666668
2021-10-21,1.667814
2021-10-22,1.671421
2021-10-23,1.665446
2021-10-24,1.665747
2021-10-25,1.67429
2021-10-26,1.672442
2021-10-27,1.670597
2021-10-28,1.680206
2021-10-29,1.667275
2021-10-30,1.674865
2021-10-31,1.675054
2021-11-01,1.671652
