date,rate
2021-10-01,0.072356
2021-10-02,0.072339
2021-10-03,0.072318
2021-10-04,0.071606
2021-10-05,0.071135
2021-10-06,0.071436
2021-10-07,0.071159
2021-10-08,0.070766
2021-10-09,0.070414
2021-10-10,0.070404
2021-10-11,0.070512
2021-10-12,0.070467
2021-10-13,0.07035
2021-10-14,0.070068
2021-10-15,0.069905
2021-10-16,0.069738
2021-10-17,0.069732
2021-10-18,0.069593
2021-10-19,0.069199
2021-10-20,0.06942
2021-10-21,0.069438
2021-10-22,0.069452
2021-10-23,0.069333
2021-10-24,0.069289
2021-10-25,0.069201
2021-10-26,0.069426
2021-10-27,0.069703
2021-10-28,0.069292
2021-10-29,0.070115
2021-10-30,0.070082
2021-10-31,0.070114
2021-11-01,0.070201
