date,rate
2021-10-01,1.431668
2021-10-02,1.432856
2021-10-03,1.429374
2021-10-04,1.42787
2021-10-05,1.42465
2021-10-06,1.419435
2021-10-07,1.419882
2021-10-08,1.41353
2021-10-09,1.413757
2021-10-10,1.41115
2021-10-11,1.410648
2021-10-12,1.405882
2021-10-13,1.413321
2021-10-14,1.419064
2021-10-15,1.420414
2021-10-16,1.417998
2021-10-17,1.418414
2021-10-18,1.42483
2021-10-19,1.429904
2021-10-20,1.441817
2021-10-21,1.443969
2021-10-22,1.447939
2021-10-23,1.446405
2021-10-24,1.446873
2021-10-25,1.447074
2021-10-26,1.452329
2021-10-27,1.437753
2021-10-28,1.431661
2021-10-29,1.420038
2021-10-30,1.425195
2021-10-31,1.425304
2021-11-01,1.421525
